store,city,address,url
3493,Kenora,"Kenora, Kenora Shopper's Mall, 560 Railway Street",http://www.thebeerstore.ca/locations/kenora-0
4557,Keswick,"Keswick, Glenwoods Plaza, 443 The Queensway South",http://www.thebeerstore.ca/locations/keswick
4103,Kincardine,"Kincardine, 427 Broadway Street",http://www.thebeerstore.ca/locations/kincardine
4503,Kingston,"Bath Rd., 1675 Bath Road",http://www.thebeerstore.ca/locations/bath-rd
4501,Kingston,"Cataraqui St., 121 Cataraqui Street",http://www.thebeerstore.ca/locations/cataraqui-st
4502,Kingston,"Concession St., 290 Concession Street",http://www.thebeerstore.ca/locations/concession-st
4511,Kingston,"Dalton Ave, 88 Dalton Avenue",http://www.thebeerstore.ca/locations/dalton-ave
4510,Kingston,"Kingston Nw Walmart, 1090 Midland Avenue",http://www.thebeerstore.ca/locations/kingston-nw-walmart
4505,Kingston,"Princess St., 500 Princess Street",http://www.thebeerstore.ca/locations/princess-st
3267,Kingsville,"Kingsville, 251 Main Street W.",http://www.thebeerstore.ca/locations/kingsville
3745,Kirkland Lake,"Kirkland Lake, 25 Station Road",http://www.thebeerstore.ca/locations/kirkland-lake-0
4156,Kitchener,"Bleams Road, 250 Bleams Road",http://www.thebeerstore.ca/locations/bleams-road
4154,Kitchener,"Dow Store (King W.), 400 King Street W.",http://www.thebeerstore.ca/locations/dow-store-king-w
4151,Kitchener,"King St. E., 1255 Weber St. E.",http://www.thebeerstore.ca/locations/king-st-e-0
4166,Kitchener,"Supercentre (Highland Rd.), 875 Highland Road West",http://www.thebeerstore.ca/locations/supercentre-highland-rd
4167,Kitchener,"Victoria St., 1120 Victoria Street N",http://www.thebeerstore.ca/locations/victoria-st
4709,Lakefield,"Lakefield, 102 Queen Street",http://www.thebeerstore.ca/locations/lakefield
3259,Lasalle,"Lasalle, 1539 Front Road",http://www.thebeerstore.ca/locations/lasalle
3291,Leamington,"Leamington, 255 Erie Street South",http://www.thebeerstore.ca/locations/leamington
3611,Levack,"Levack, 3rd Avenue & Main St.",http://www.thebeerstore.ca/locations/levack
4590,Lindsay,"Lindsay, 370 Kent Street W.",http://www.thebeerstore.ca/locations/lindsay
4104,Listowel,"Listowel, 850 Wallace Avenue N.",http://www.thebeerstore.ca/locations/listowel
3641,Little Current,"Little Current, 53 Meredith Street East",http://www.thebeerstore.ca/locations/little-current-0
3612,Lively,"Lively, 8th Ave & Main St.",http://www.thebeerstore.ca/locations/lively
3640,Lively,"Sudbury Distribution Centre, 50 Vagnini Crt.",http://www.thebeerstore.ca/locations/sudbury-dc-0
3102,London,"Adelaide/Lorne, 514 Adelaide Street",http://www.thebeerstore.ca/locations/adelaidelorne
3111,London,"Baseline/Wellington, 712 Baseline Road E.",http://www.thebeerstore.ca/locations/baselinewellington
3106,London,"Clarke Road, 155 Clarke Road",http://www.thebeerstore.ca/locations/clarke-road
3105,London,"Dundas St. E., 1600 Dundas Street E.",http://www.thebeerstore.ca/locations/dundas-st-e
3103,London,"Hamilton/Sackville, 552 Hamilton Road",http://www.thebeerstore.ca/locations/hamiltonsackville
3112,London,"Huron/Adelaide, 1080 Adelaide St. North",http://www.thebeerstore.ca/locations/huronadelaide
3118,London,"Lambeth, Main Street Mall, 2386 Main Street",http://www.thebeerstore.ca/locations/lambeth
3140,London,"London Distribution Centre, 280 Sovereign Road",http://www.thebeerstore.ca/locations/london-dc-0
3114,London,"Medway (Wonderland Rd. N.), Sherwood Forest Mall, 1225 Wonderland Road N.",http://www.thebeerstore.ca/locations/medway-wonderland-rd-n
3108,London,"Oakridge Mall (Oxford St. W), Oakridge Mall, 1199 Oxford Street West",http://www.thebeerstore.ca/locations/oakridge-mall-oxford-st-w
3104,London,"Piccadilly St., 250 Piccadilly Street",http://www.thebeerstore.ca/locations/piccadilly-st
3117,London,"The Hyland Centre, The Hyland Centre, 1727 Richmond Street",http://www.thebeerstore.ca/locations/hyland-centre
3113,London,"Wellington Road, 1005 Wellington Road",http://www.thebeerstore.ca/locations/wellington-road
3110,London,"Westmount (Wonderland Rd.), 3069 Wonderland Road S.",http://www.thebeerstore.ca/locations/westmount-wonderland-rd
3107,London,"Wharncliffe Rd.s., 414 Wharncliffe Road South",http://www.thebeerstore.ca/locations/wharncliffe-rds
4304,Madoc,"Madoc, 46 Wellington St",http://www.thebeerstore.ca/locations/madoc
4623,Manotick,"Manotick, 1160 Beaverwood Road",http://www.thebeerstore.ca/locations/manotick
2378,Maple,"Dufferin And Major Mackenzie, Building F, 1470 Major Mackenzie Drive",http://www.thebeerstore.ca/locations/dufferin-and-major-mackenzie
